VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Duration
2,1/15/2015 19:05,1/15/2015 19:15,5,1.57,-73.97842407,40.74620819,1,N,-73.98021698,40.72854233,credit card,8,1,0.5,1.8,0,0.3,11.6,0:10
2,1/15/2015 19:05,1/15/2015 19:17,1,2.92,-73.99835205,40.72003174,1,N,-73.95582581,40.71559906,credit card,12.5,1,0.5,2.7,0,0.3,17,0:12
1,1/10/2015 19:12,1/10/2015 19:31,1,2.9,-74.00305176,40.72771835,1,N,-73.97603607,40.76396942,cash,13.5,0,0.5,0,0,0.3,14.3,0:19
1,1/10/2015 19:12,1/10/2015 19:46,1,16.4,-73.97709656,40.76317215,2,N,-73.79071045,40.64427567,credit card,52,0,0.5,10,0,0.3,62.8,0:34
2,1/25/2015 0:13,1/25/2015 0:13,1,0.02,-73.99481201,40.72774124,1,N,-73.99694061,40.72555923,cash,2.5,0.5,0.5,0,0,0.3,3.8,0:00
2,1/25/2015 0:13,1/25/2015 0:29,1,1.73,-73.98593903,40.72676468,1,N,-74.00654602,40.73786545,cash,11,0.5,0.5,0,0,0.3,12.3,0:16
2,1/25/2015 0:13,1/25/2015 0:25,1,2.25,-73.9799881,40.74327469,1,N,-74.00808716,40.73905563,credit card,10.5,0.5,0.5,2.36,0,0.3,14.16,0:12
2,1/25/2015 0:13,1/25/2015 0:25,1,3.53,-73.9889679,40.72167969,1,N,-73.97872925,40.76247025,cash,12.5,0.5,0.5,0,0,0.3,13.8,0:12
2,1/25/2015 0:13,1/25/2015 0:23,1,2.01,-73.94868469,40.78236008,1,N,-73.95708466,40.80199051,credit card,9.5,0.5,0.5,2.16,0,0.3,12.96,0:10
2,1/25/2015 0:13,1/25/2015 0:24,1,3.37,-73.94551086,40.7737236,1,N,-73.98743439,40.75570679,credit card,12.5,0.5,0.5,0,0,0.3,13.8,0:11
2,1/25/2015 0:13,1/25/2015 0:22,1,1.35,-73.9339447,40.76285172,1,N,-73.91702271,40.7709465,credit card,8,0.5,0.5,0.7,0,0.3,10,0:09
2,1/25/2015 0:13,1/25/2015 0:18,1,1.18,-73.9830246,40.76781845,1,N,-73.9683075,40.76314926,credit card,6,0.5,0.5,1.8,0,0.3,9.1,0:05
2,1/25/2015 0:13,1/25/2015 0:21,5,2.05,-73.99095917,40.73482132,1,N,-73.99073029,40.75537109,credit card,8.5,0.5,0.5,1.96,0,0.3,11.76,0:08
2,1/25/2015 0:13,1/25/2015 0:34,1,3.05,-73.99163818,40.72708893,1,N,-73.95171356,40.7147789,credit card,16.5,0.5,0.5,5.34,0,0.3,23.14,0:21
2,1/25/2015 0:13,1/25/2015 0:27,4,3.06,-73.99263763,40.72379303,1,N,-73.96405029,40.75686646,credit card,12.5,0.5,0.5,2.76,0,0.3,16.56,0:14
2,1/25/2015 0:13,1/25/2015 0:15,1,0.49,-73.98616028,40.75994873,1,N,-73.98360443,40.7639389,cash,4,0.5,0.5,0,0,0.3,5.3,0:02
2,1/25/2015 0:13,1/25/2015 0:24,1,2.6,-73.9484787,40.78247833,1,N,-73.97153473,40.80033875,credit card,11,0.5,0.5,1.5,0,0.3,13.8,0:11
2,1/25/2015 0:13,1/25/2015 0:41,1,6.17,-74.00163269,40.74093628,1,N,-73.91980743,40.74308014,credit card,24,0.5,0.5,2.7,0,0.3,28,0:28
2,1/25/2015 0:13,1/25/2015 0:34,1,3.72,-73.9753418,40.78987885,1,N,-74.00504303,40.74119186,credit card,16.5,0.5,0.5,3.56,0,0.3,21.36,0:21
2,1/25/2015 0:13,1/25/2015 0:18,1,1.1,-73.97988129,40.74624634,1,N,-73.98766327,40.73267365,cash,6,0.5,0.5,0,0,0.3,7.3,0:05
2,1/25/2015 0:13,1/25/2015 0:21,2,2.63,-73.99282837,40.70148468,1,N,-73.99290466,40.71997833,credit card,10.5,0.5,0.5,2.36,0,0.3,14.16,0:08
2,1/25/2015 0:13,1/25/2015 0:22,2,2.22,-73.99253082,40.7244606,1,N,-74.01089478,40.70326614,credit card,9.5,0.5,0.5,2.7,0,0.3,13.5,0:09
2,1/25/2015 0:13,1/25/2015 0:20,1,1.79,-73.95568848,40.77246857,1,N,-73.97438049,40.75667191,credit card,8,0.5,0.5,2.79,0,0.3,12.09,0:07
2,1/25/2015 0:13,1/25/2015 0:24,1,1.14,-73.99311066,40.72428894,1,N,-74.00097656,40.73522186,credit card,8.5,0.5,0.5,1.96,0,0.3,11.76,0:11
2,1/25/2015 0:13,1/25/2015 1:02,1,10.2,-73.997612,40.76224136,1,N,-73.90857697,40.69004822,cash,39,0.5,0.5,0,0,0.3,40.3,0:49
2,1/4/2015 13:44,1/4/2015 13:53,5,1.48,-73.98635101,40.75937653,1,N,-73.99624634,40.74671173,credit card,7.5,0,0.5,1.5,0,0.3,9.8,0:09
2,1/4/2015 13:44,1/4/2015 13:45,1,0.03,-73.94451141,40.79456711,1,N,-73.94470215,40.79433441,cash,2.5,0,0.5,0,0,0.3,3.3,0:01
